drifter_id,time,latitude,longitude,uo,vo
300234060159340.0,2023-01-08 00:00:00,37.619,-72.648,0.017700735,-0.010376293
300234060159340.0,2023-01-08 06:00:00,37.632,-72.68,-0.045777764,-0.03784295
300234060159340.0,2023-01-08 12:00:00,37.609,-72.676,0.017700735,-0.010376293
300234060159340.0,2023-01-08 18:00:00,37.591,-72.72,-0.05981628,-0.053102206
300234060159340.0,2023-01-09 00:00:00,37.597,-72.714,-0.05981628,-0.053102206
300234060159340.0,2023-01-09 06:00:00,37.574,-72.711,-0.05981628,-0.053102206
300234060159340.0,2023-01-09 12:00:00,37.558,-72.721,-0.05981628,-0.053102206
300234060159340.0,2023-01-09 18:00:00,37.56,-72.725,-0.14587848,-0.15869625
300234060159340.0,2023-01-10 00:00:00,37.53,-72.703,-0.10010071,-0.081789605
300234060252320.0,2023-01-01 00:00:00,34.72,-63.406,-0.09277627,0.29786065
300234060252320.0,2023-01-01 06:00:00,34.777,-63.381,-0.09277627,0.29786065
300234060252320.0,2023-01-01 12:00:00,34.871,-63.396,-0.109866634,0.29725027
300234060252320.0,2023-01-01 18:00:00,34.973,-63.388,-0.20996734,0.18189031
300234060252320.0,2023-01-02 00:00:00,35.071,-63.378,-0.19959106,0.15381329
300234060252320.0,2023-01-02 06:00:00,35.131,-63.383,-0.16968292,0.12024292
300234060252320.0,2023-01-02 12:00:00,35.17,-63.399,-0.16968292,0.12024292
300234060252320.0,2023-01-02 18:00:00,35.212,-63.438,-0.14160588,0.06286813
300234060252320.0,2023-01-03 00:00:00,35.217,-63.506,-0.17212439,0.10559404
300234060252320.0,2023-01-03 06:00:00,35.246,-63.6,-0.21729179,0.15076144
300234060252320.0,2023-01-03 12:00:00,35.275,-63.618,-0.21729179,0.15076144
300234060252320.0,2023-01-03 18:00:00,35.305,-63.631,-0.14831996,0.13367108
300234060252320.0,2023-01-04 00:00:00,35.329,-63.677,-0.14831996,0.13367108
300234060252320.0,2023-01-04 06:00:00,35.397,-63.743,-0.16968292,0.13550219
300234060252320.0,2023-01-04 12:00:00,35.419,-63.777,-0.16968292,0.13550219
300234060252320.0,2023-01-04 18:00:00,35.427,-63.858,-0.1574755,0.12146367
300234060252320.0,2023-01-05 00:00:00,35.452,-63.935,-0.19104587,0.15076144
300234060252320.0,2023-01-05 06:00:00,35.49,-63.995,-0.20569475,0.15076144
300234060252320.0,2023-01-05 12:00:00,35.51,-64.033,-0.20569475,0.15076144
300234060252320.0,2023-01-05 18:00:00,35.529,-64.086,-0.18005921,0.15503404
300234060252320.0,2023-01-06 00:00:00,35.555,-64.126,-0.19775994,0.13855404
300234060252320.0,2023-01-06 06:00:00,35.576,-64.167,-0.19775994,0.13855404
300234060252320.0,2023-01-06 12:00:00,35.633,-64.21,-0.20508438,0.11902219
300234060252320.0,2023-01-06 18:00:00,35.705,-64.255,-0.2148503,0.040894803
300234060252320.0,2023-01-07 00:00:00,35.742,-64.317,-0.25330362,0.0347911
300234060252320.0,2023-01-07 06:00:00,35.771,-64.415,-0.26734215,0.042115543
300234060252320.0,2023-01-07 12:00:00,35.801,-64.551,-0.3668325,0.010986663
300234060252320.0,2023-01-07 18:00:00,35.841,-64.662,-0.4364147,-0.03295999
300234060252320.0,2023-01-08 00:00:00,35.851,-64.741,-0.458388,-0.03357036
300234060252320.0,2023-01-08 06:00:00,35.839,-64.816,-0.48036134,-0.03540147
300234060252320.0,2023-01-08 12:00:00,35.815,-64.927,-0.5035554,-0.03784295
300234060252320.0,2023-01-08 18:00:00,35.789,-65.073,-0.4608295,0.10742515
300234060252320.0,2023-01-09 00:00:00,35.78,-65.214,-0.50721765,0.08606219
300234060252320.0,2023-01-09 06:00:00,35.773,-65.356,-0.52430797,0.07324442
300234060252320.0,2023-01-09 12:00:00,35.778,-65.519,-0.540788,0.048829615
300234060252320.0,2023-01-09 18:00:00,35.817,-65.671,-0.5645924,-0.056764428
300234060252320.0,2023-01-10 00:00:00,35.89,-65.796,-0.5114902,-0.06042665
300234061199810.0,2023-01-01 00:00:00,15.616,-66.724,0.017090365,-0.110477
300234061199810.0,2023-01-01 06:00:00,15.604,-66.733,0.017090365,-0.110477
300234061199810.0,2023-01-01 12:00:00,15.569,-66.726,0.017090365,-0.110477
300234061199810.0,2023-01-01 18:00:00,15.541,-66.741,-0.0073244423,-0.079348125
300234061199810.0,2023-01-02 00:00:00,15.516,-66.746,-0.0073244423,-0.079348125
300234061199810.0,2023-01-02 06:00:00,15.506,-66.765,-0.0073244423,-0.079348125
300234061199810.0,2023-01-02 12:00:00,15.483,-66.762,-0.0073244423,-0.079348125
300234061199810.0,2023-01-02 18:00:00,15.474,-66.777,-0.025025178,-0.11841182
300234061199810.0,2023-01-03 00:00:00,15.455,-66.77,-0.015869625,-0.12024292
300234061199810.0,2023-01-03 06:00:00,15.453,-66.779,-0.015869625,-0.12024292
300234061199810.0,2023-01-03 12:00:00,15.44,-66.765,-0.015869625,-0.12024292
300234061199810.0,2023-01-03 18:00:00,15.415,-66.764,-0.023194067,-0.08484146
300234061199810.0,2023-01-04 00:00:00,15.397,-66.764,-0.023194067,-0.08484146
300234061199810.0,2023-01-04 06:00:00,15.378,-66.768,-0.023194067,-0.08484146
300234061199810.0,2023-01-04 12:00:00,15.367,-66.759,-0.0073244423,-0.09643849
300234061199810.0,2023-01-04 18:00:00,15.354,-66.761,-0.017700735,-0.09521775
300234061199810.0,2023-01-05 00:00:00,15.35,-66.747,-0.017700735,-0.09521775
300234061199810.0,2023-01-05 06:00:00,15.341,-66.736,-0.017700735,-0.09521775
300234061199810.0,2023-01-05 12:00:00,15.334,-66.715,-0.017700735,-0.09521775
300234061199810.0,2023-01-05 18:00:00,15.312,-66.708,0.0024414808,-0.06897183
300234061199810.0,2023-01-06 00:00:00,15.305,-66.699,0.0024414808,-0.06897183
300234061199810.0,2023-01-06 06:00:00,15.29,-66.698,0.006103702,-0.07751702
300234061199810.0,2023-01-06 12:00:00,15.292,-66.678,0.0024414808,-0.06897183
300234061199810.0,2023-01-06 18:00:00,15.281,-66.662,-0.0048829615,-0.12390515
300234061199810.0,2023-01-07 00:00:00,15.262,-66.64,-0.0048829615,-0.12390515
300234061199810.0,2023-01-07 06:00:00,15.234,-66.623,-0.013428144,-0.11902219
300234061199810.0,2023-01-07 12:00:00,15.196,-66.605,-0.014648885,-0.122684404
300234061199810.0,2023-01-07 18:00:00,15.16,-66.607,-0.017090365,-0.11719108
300234061199810.0,2023-01-08 00:00:00,15.134,-66.602,-0.017090365,-0.11719108
